Time,SourceID,SourceAddress,SourceType,SourceLocation,DestinationServiceAddress,DestinationServiceType,DestinationServiceLocation,AccessedNodeAddress,AccessedNodeType,Operation,Value
55.04234569,hbw,/hbw_node,Next Task,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Picked up the Empty Box from the Belt
65.03164503,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Motion Sensor,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR Dropped Material at MPS
65.65424784,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Reference Switch,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Set to Home
80.98321273,hbw,/hbw_node,Next Task,FischerTechnik,/status_update,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Empty Box is Back on the Shelf
80.99518872,hbw,/hbw_node,Next Task,FischerTechnik,/status_update,Next Task,FischerTechnik,"/provide_empty_loc, /rosout, /what_is_empty, /what_is_occupied",String,notify-callback,Status Updated Successfully
97.85207353,hbw,/hbw_node,Reference Switch,FischerTechnik,/status_update,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Robot is Set to Home
126.6824064,sld,/sld_node,Motion Sensor,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",Boolean,notify-callback,VGR Received an Order at the WHITE Topic
152.8534758,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Motion Sensor,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR Dropped Material at DPS
160.4560911,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Reference Switch,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Set to Home
160.4605348,cobot,/listener,Motion Sensor,FischerTechnik,/status_update,Next Task,Expansion,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off ",Boolean,notify-callback,Order is ready for pick up
160.7240499,vgr,/vgr_node,Motion Sensor,FischerTechnik,/listener,Next Task,Expansion,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,Calling Cobot for picking
208.3341224,lego,/lego_node,Motion Sensor,Expansion,/listener,Next Task,Expansion,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off ",Boolean,notify-callback,White order is ready for pick up
208.3359732,lego,/lego_node,Motion Sensor,Expansion,/listener,Next Task,Expansion,"/diagnostics, /lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout ",String,notify-callback,Calling Cobot for white Pick up
233.1828872,vgr,/vgr_node,Motion Sensor,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",Boolean,notify-callback,VGR is Picking Up Material from in-Processing Unit
244.4904088,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Moving to DPS Color Sensor
248.9746572,vgr,/vgr_node,Color Sensor,FischerTechnik,/status_update,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,DPS Detected White Object
249.0870176,main,/status_update,Order,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/provide_empty_loc, /provide_empty_loc_back, /rosout, /what_is_empty, /what_is_occupied",String,read,Published Return Position
258.3492943,main,/Order,Next Task,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Moving to HBW
272.188224,hbw,/hbw_node,Reference Switch,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Picked Empty Box from The Shelf
296.2113026,hbw,/hbw_node,Motion Sensor,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Placed Box on the Belt
296.8709668,hbw,/hbw_node,Motion Sensor,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",Boolean,notify-callback,VGR Dropped Material at HBW
303.3065206,hbw,/hbw_node,Next Task,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Material is Dropped by VGR
305.2962174,hbw,/hbw_node,Motion Sensor,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",Boolean,notify-callback,Material is Ready for HBW Pick Up
305.8465543,hbw,/hbw_node,Motion Sensor,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",Boolean,notify-callback,HBW Picked up Material from the Belt
307.2919512,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Reference Switch,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Set to Home
331.0339115,hbw,/hbw_node,Next Task,FischerTechnik,/status_update,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Placed Material on the Shelf
331.0538611,hbw,/hbw_node,Next Task,FischerTechnik,/status_update,Next Task,FischerTechnik,"/provide_empty_loc, /rosout, /what_is_empty, /what_is_occupied",String,notify-callback,Status Updated Successfully
348.9174673,hbw,/hbw_node,Reference Switch,FischerTechnik,/status_update,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Robot is Set to Home
